ID	city	english
SP91FD79GFQU	安道爾	Andorra la Vella
THM3PVJHX1G2	Ar Ruways	Ar Ruways
THQEJNH8EJWT	阿布達比	Abu Dhabi
THR9SGGWEJYQ	艾因	Al Ain
THRRDQPEMRVW	杜拜	Dubai
THRXZEE9YZJZ	Adh Dhayd	Adh Dhayd
THX2K8PMN3P2	夏爾迦	Sharjah
THX2T3YW6N1Z	Ajman	Ajman
THX92JYJ35PD	Umm al-Quwain	Umm al-Quwain
THXF9NBDGHBD	Ras al-Khaimah	Ras al-Khaimah
TK2NFH69DJCX	富查伊拉	Fujairah
TK80456VXS33	Khor'fakkan	Khor'fakkan
TK818XBSTY7W	Dibba Al-Hisn	Dibba Al-Hisn
TMSEKGDWVG58	哈什	Khash
TMTG8Z3ZR71E	拉什卡爾加	Lashkar Gah
TMTVJ2F6P7C4	格裡什克	Gereshk
TMU0JMXG0W3N	法拉	Farah
TMUJ3V21PP50	Kushk	Kushk
TMUJQNW7EMUP	Shindand	Shindand
TMWEZ708UVZ3	坎達哈	Kandahar
TQ5MJWGKH809	Kafir Qala	Kafir Qala
TQH5RKUKT74V	赫拉特	Herat
TQHS0JJFY7P8	Karukh	Karukh
TQJDP319GSRW	Shahrak	Shahrak
TQM772T1GNW8	Ghormach	Ghormach
TQPFUMZ4XYZE	Cool urhajo	Cool urhajo
TQQH65MCR2WE	梅馬內	Maymana
TQQYH2FD4R1S	Sar-e Pul	Sar-e Pul
TQR5ZY1ZUBPJ	Sang-e Charak	Sang-e Charak
TQW61ZJDMT2J	安德胡伊	Andkhoy
TQWB85PU1D55	Shibirghan	Shibirghan
TQWUYGG6WZTC	卡爾金	Qarqin
TQX8Z4STST7T	馬紮裡沙裡夫	Mazar-i-Sharif
TQX947313B3N	巴爾赫	Balkh
TTBWVH4ZWH9C	加茲尼	Ghazni
TTCPPK0Z2BSD	加德茲	Gardez
TTCTXJ62XXKX	霍斯特	Khost
TW110ZWG50B2	Baraki Barak	Baraki Barak
TW1HC06QC1DN	帕格曼	Paghman
TW1HQJ9UBJVY	喀布爾	Kabul
TW1PNN1144HM	恰裡卡爾	Charikar
TW1PZ917J4V4	Jabul Saraj	Jabul Saraj
TW1VJXSZQXDR	Mehtar Lam	Mehtar Lam
TW2Q79Z3H60U	Aibak	Aibak
TW2U7XSB673E	Pul-e Khumri	Pul-e Khumri
TW2VE3RU7NYM	巴格蘭	Baghlan
TW3JJJMMM8MW	Nahrin	Nahrin
TW45G5JHXXS2	賈拉拉巴德	Jalalabad
TW460URV6SJM	Markaz-e Woluswali-ye Achin	Markaz-e Woluswali-ye Achin
TW4W6URWSEK0	阿薩達巴德	Asadabad
TW4XRC97UJFE	阿斯瑪律	Asmar
TW80U883EEZJ	Khulm	Khulm
TW8BYYK1SQN0	昆都士	Kunduz
TW8GTPSR79ZT	Qarawul	Qarawul
TW90SVB7J36M	汗阿巴德	Khanabad
TW92YR97P2P4	Taloqan	Taloqan
TW96VP1RZTHZ	Art Khwajah	Art Khwajah
TW9EJN8FZ7WV	Rustaq	Rustaq
TWD5NHFU1DG1	法紮巴德	Fayzabad
DEH12EFPYDDZ	聖約翰	Saint John
DE5PTH69YN1Q	瓦利	The Valley
SRJY5QXZRQ5Z	發羅拉	Vlorë
SRJZPNV33E24	Patos Fshat	Patos Fshat
SRJZTK0PB3TG	Fier-Cifci	Fier-Cifci
SRMFM18GM8RR	卡瓦亞	Kavajë
SRMG46SU30W2	都拉斯	Durrës
SRMVXN2P1M9H	萊什	Lezhë
SRMZK429KPDG	斯庫台	Shkodër
SRN4Z5P7UZ3F	薩蘭達	Sarandë
SRN7FR8DW5UP	吉諾卡斯特	Gjirokaster
SRNPW42B8KWQ	培拉特	Berat
SRNZ0FKHS3TY	戈裡察	Korçë
SRQ0BMK8PFBC	盧什涅	Lushnjë
SRQ0J5QYU5CD	庫喬瓦	Kuçovë
SRQ3BUR3TTK9	愛爾巴桑	Elbasan
SRQ54GRWJS5Q	地拉那	Tirana-Al
SRQH4KS8MNQ3	Krujë	Krujë
SRQHBED8EWDZ	拉奇	Laç
SRQHXQFJ2YJY	佈雷利	Burrel
SRQX2EYGCTYJ	庫克斯	Kukës
SZPEGNJ4Z9X3	Masis	Masis
SZPEMDU232T8	阿爾塔沙特	Artashat
SZPF971H5RYB	阿拉臘	Ararat
SZPK6JGSEQ13	阿爾馬維爾	Armavir
SZPKRZYM7KXR	埃奇米阿津	Vagharshapat
SZPSSFTZFMF1	葉里溫	Yerevan
SZPT32PRQ2X3	阿什塔拉克	Ashtarak
SZPTPD2NDJQC	阿博維揚	Abovyan
SZPY6SMFBJ4F	赫拉茲丹	Hrazdan
SZPYWVDES1VC	塞凡	Sevan
SZR0JDR5MN4R	列寧納坎	Gyumri
SZR2R362YCE6	斯皮塔克	Spitak
SZR8HKPRZ18M	瓦納佐爾	Vanadzor
TNBZPCX8KXH0	卡潘	Kapan
TP08W04WV84G	Hats'avan	Hats'avan
TP0BY3N7JQM4	Goris	Goris
TP0JDF4NYP7C	Gavarr	Gavarr
KM29S98UPPZB	木薩米迪什	Namibe
KM3E5H2VNJCN	盧班戈	Lubango
KMC83N99FP4Y	本格拉	Benguela
KMC9K2BVCHGQ	卡通貝拉	Catumbela
KMC9U0PE66V8	洛比托港	Lobito
KMD3W4U463H3	卡盧肯貝	Caluquembe
KMDYE47JHQ74	隆貢若	Longonjo
KMENFH6BG267	Caala	Caala
KMEPQ4HVV0RZ	萬博	Huambo
KMKSDED0JCW1	梅農蓋	Menongue
KMU193DMZ5YX	奎托	Kuito
KMU6CK1M4GCD	卡塔博拉	Catabola
KMU7TU6VZ47E	卡馬庫帕	Camacupa
KMYHVNYVHH1D	盧埃納	Luena
KQ1B7008JBF7	松貝	Sumbe
KQ3MTPKCY125	魯安達	Luanda
KQ3XNYQ48P7M	卡希托	Caxito
KQ79EZ70EGNU	馬蘭熱	Malanje
KQ9NUG95MW06	Nzeto	Nzeto
KQBV17NV95Y0	索約	Soyo
KQDSWWZ7CUN9	卡莫納	Uige
KQFHK517FKUJ	Mbanza Congo	Mbanza Congo
KQPG1DZ98HHQ	盧奧	Luau
KQQ90129VS1D	紹裡木	Saurimo
KQWB053FCSDY	Lucapa	Lucapa
KR08MTEUBT52	Cabinda	Cabinda
4QR2JZCQYEF8	烏斯懷亞	Ushuaia
4QYF2FKUS87U	里奧戈耶斯省	Rio Gallegos
4RXZZ3GX835D	奧利維亞港	Caleta Olivia
4XB5040P210N	裡瓦達維亞準將城	Comodoro Rivadavia
62M2Y23G4UVC	科爾瓦多	Corcovado
62M7CNKC3H42	埃斯克爾	Esquel
62T1K85NKV9B	埃爾博爾松	El Bolsón
62TMCMDVWN12	聖卡洛斯－德巴里洛切	San Carlos de Bariloche
62V783J8B425	聖馬丁－德洛斯安第斯	San Martín de los Andes
63N4TYEGVXQK	薩帕拉	Zapala
63NF3JGTGZM5	Cutral-Co	Cutral-Co
63P6R6648NJ9	Plottier	Plottier
63PCYN5Q6K44	羅卡將軍鎮	General Roca
63PD7M0FKJ7J	內烏肯	Neuquen
63PDSB6CQYBK	錫波耶蒂	Cipolletti
63PE1RVURKY9	Centenario	Centenario
63PE5HWH4F55	Cinco Saltos	Cinco Saltos
63PF283U3J3Y	Allen	Allen
63RB922DRVXF	Catriel	Catriel
63Z7J4591UYU	聖拉菲爾	San Rafael
66P7CCZ108WM	聖馬丁	San Martín
66PHCU3SFXJW	門多薩	Mendoza
66R5Z25PHXH0	Pocito	Pocito
66R7YJZQBNT2	Caucete	Caucete
66RK86V2DRFH	聖胡安	San Juan
66RK9676YN38	Santa Lucia	Santa Lucia
66RKB6GF5ZT9	Villa Paula de Sarmiento	Villa Paula de Sarmiento
66RKBKXS39GJ	Chimbas	Chimbas
66RM0TJ0YV2W	Albardon	Albardon
66X5GWU5BM5M	San Jose de Jachal	San Jose de Jachal
6839CYY29GNQ	特雷利烏	Trelew
6839WT3YQCMD	羅森	Rawson
683U8N07KG3W	馬德林港	Puerto Madryn
68CB60FX31FJ	西聖安東尼奧	San Antonio Oeste
68EPY6PHQVQP	別德馬	Viedma
69039F5D1204	Villa Regina	Villa Regina
695EWZQ9GPNX	布蘭卡港	Bahia Blanca
695FG6Z7SD92	蓬塔阿爾塔	Punta Alta
696R9NNK3Y0V	聖羅莎	Santa Rosa
697FYTT6WRRQ	蘇亞雷斯上校鎮	Coronel Suárez
69DTJHVTNKK8	皮科將軍鎮	General Pico
69FVV7RYN0YB	拉沃拉耶	Laboulaye
69GMHCWHF59K	Rufino	Rufino
69JJSQ1XE717	特雷斯阿羅約斯	Tres Arroyos
69MGWMU99820	坦迪爾	Tandil
69MN57FKQFWN	奧拉瓦裡亞	Olavarría
69MQVBUQDCVD	阿蘇爾	Azul
69NHXQTJYMZM	內科切阿	Necochea
69PPF1ZUSJ6G	馬德普拉港	Mar del Plata
69RKP833ZFKC	Villa Gesell	Villa Gesell
69SWQED38689	Nueve de Julio	Nueve de Julio
69TNQTXXFHR7	Veinticinco de Mayo	Veinticinco de Mayo
69U1XUEPFRKG	林肯	Lincoln
69UEM0NQTSWJ	胡寧	Junín
69UFZVSM8K8V	查卡布科	Chacabuco
69UZJWE8TX2T	佩爾加米諾	Pergamino
69V36R3NN1RR	奇維爾科伊	Chivilcoy
69VDZEGUSGCG	梅塞德斯	Mercedes
69VGR49J99JE	盧漢	Luján
69WCRMRK1SYP	多洛莉絲	Dolores
69Y62D12NFB2	蓬特韋德拉	Pontevedra
69Y6F5D3HFC8	莫龍	Morón
69Y7J5R3MGQD	Villa Santa Rita	Villa Santa Rita
69Y7MFN9CUW2	Colegiales	Colegiales
69Y7PDFGZBUC	布宜諾賽勒斯	Buenos Aires
69Y7R2Q99B3H	雷蒂羅	Retiro
69YC34WZC9E0	拉普拉塔	La Plata
69YD6QTTNB51	基爾梅斯	Quilmes
69YJD7G28MQH	坎帕納	Campana
69YK4UZTGGJ3	蒂格雷	Tigre
69YN0B8EYMUD	薩拉特	Zarate
6D0FD6ZFE8R9	聖路易斯	San Luis
6D12QMX0CBYG	梅塞德斯鎮	Villa Mercedes
6D3DK86MUTGV	Villa Dolores	Villa Dolores
6D45X8TZF5SM	裡奧誇爾托	Río Cuarto
6D5BJBG9V7DM	貝納多圖埃托	Venado Tuerto
6D5P2ZB2RRSH	Villa Nueva	Villa Nueva
6D5P8UMUT6MQ	瑪麗亞鎮	Villa María
6D5QMKXKQC0Q	貝爾維爾	Bell Ville
6D5VFXX38831	馬科斯化雷斯	Marcos Juárez
6D60YJU1VTJY	Embalse	Embalse
6D62VP1DD5UE	裡奧特爾塞羅	Río Tercero
6D65VVUB2SN9	上格拉西亞	Alta Gracia
6D6ECTY4PRGU	Rio Segundo	Rio Segundo
6D6JHR6JHG93	卡洛斯帕斯鎮	Villa Carlos Paz
6D6M792G154M	科爾多瓦	Córdoba
6D6M8N03R1GX	La Calera	La Calera
6D6MBYVXC53Y	Villa Allende	Villa Allende
6D6NM0181YWR	Cosquin	Cosquin
6D6PHKXBVHT0	La Falda	La Falda
6D6Q26W7V1UY	Unquillo	Unquillo
6D6Q8Q9GE1N0	Rio Ceballos	Rio Ceballos
6D6RTXBP802H	Jesus Maria	Jesus Maria
6D7JM207UNEJ	Arroyito	Arroyito
6D7V5Q8YC1SD	聖法蘭西斯科	San Francisco
6D9CJQ7M827M	Cruz del Eje	Cruz del Eje
6DB2WVBU4QXW	拉里奧哈	La Rioja
6DB4051ZKDSN	奇萊西托	Chilecito
6DCNP128SZ3X	卡塔馬卡	Catamarca
6DD4ZWJUS1EN	Dean Funes	Dean Funes
6DECM1JGXRWC	Morteros	Morteros
